"Source";"Target";"weight";"first_year";"last_year";"Fryslân";"Gelderland";"Limburg";"Noord-Holland";"Overijssel";"UGV";"Zuid-Holland";"Noord-Brabant";"Drenthe";"Groningen";"Zeeland";"Flevoland";"frac_Fryslân";"frac_Gelderland";"frac_Limburg";"frac_Noord-Holland";"frac_Overijssel";"frac_UGV";"frac_Zuid-Holland";"frac_Noord-Brabant";"frac_Drenthe";"frac_Groningen";"frac_Zeeland";"frac_Flevoland"
"A23L";"C07B";2;"2015";"2016";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"C07C";88;"2013";"2023";0;1;0;2;1;3;9;72;0;0;0;0;0;0.0113636363636364;0;0.0227272727272727;0.0113636363636364;0.0340909090909091;0.102272727272727;0.818181818181818;0;0;0;0
"A23L";"C07D";19;"2013";"2021";0;0;0;4;0;0;2;13;0;0;0;0;0;0;0;0.210526315789474;0;0;0.105263157894737;0.68421052631579;0;0;0;0
"A23L";"C07F";3;"2013";"2015";0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0.333333333333333;0.666666666666667;0;0;0;0
"A23L";"C07H";82;"2013";"2024";0;0;0;0;0;14;12;52;0;4;0;0;0;0;0;0;0;0.170731707317073;0.146341463414634;0.634146341463415;0;0.048780487804878;0;0
"A23L";"C07K";110;"2013";"2024";0;6;2;3;0;10;34;50;1;3;0;1;0;0.0545454545454545;0.0181818181818182;0.0272727272727273;0;0.0909090909090909;0.309090909090909;0.454545454545455;0.00909090909090909;0.0272727272727273;0;0.00909090909090909
"A23L";"C08B";68;"2013";"2024";0;21;2;0;0;3;19;14;0;7;1;1;0;0.308823529411765;0.0294117647058824;0;0;0.0441176470588235;0.279411764705882;0.205882352941176;0;0.102941176470588;0.0147058823529412;0.0147058823529412
"A23L";"C08F";2;"2013";"2017";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"A23L";"C08G";2;"2014";"2015";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"C08J";10;"2014";"2024";0;2;0;0;0;1;1;6;0;0;0;0;0;0.2;0;0;0;0.1;0.1;0.6;0;0;0;0
"A23L";"C08K";3;"2016";"2021";0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"C08L";32;"2013";"2024";0;4;0;2;0;2;12;6;0;2;3;1;0;0.125;0;0.0625;0;0.0625;0.375;0.1875;0;0.0625;0.09375;0.03125
"A23L";"C09B";16;"2013";"2024";0;0;0;1;0;0;3;12;0;0;0;0;0;0;0;0.0625;0;0;0.1875;0.75;0;0;0;0
"A23L";"C09C";3;"2016";"2019";0;2;0;0;0;1;0;0;0;0;0;0;0;0.666666666666667;0;0;0;0.333333333333333;0;0;0;0;0;0
"A23L";"C09D";5;"2014";"2020";0;0;1;1;0;0;1;1;0;1;0;0;0;0;0.2;0.2;0;0;0.2;0.2;0;0.2;0;0
"A23L";"C09H";3;"2017";"2021";0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0.666666666666667;0.333333333333333;0;0;0;0
"A23L";"C09J";2;"2020";"2022";0;1;0;0;0;0;0;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0.5;0;0
"A23L";"C09K";37;"2013";"2024";0;11;0;6;0;3;4;11;0;2;0;0;0;0.297297297297297;0;0.162162162162162;0;0.0810810810810811;0.108108108108108;0.297297297297297;0;0.0540540540540541;0;0
"A23L";"C10L";2;"2014";"2014";0;1;0;0;0;1;0;0;0;0;0;0;0;0.5;0;0;0;0.5;0;0;0;0;0;0
"A23L";"C10M";7;"2014";"2021";0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0.285714285714286;0;0;0;0.714285714285714;0;0;0;0
"A23L";"C11B";158;"2013";"2024";0;5;2;21;0;5;29;95;0;1;0;0;0;0.0316455696202532;0.0126582278481013;0.132911392405063;0;0.0316455696202532;0.183544303797468;0.60126582278481;0;0.00632911392405063;0;0
"A23L";"C11C";56;"2013";"2024";0;0;0;26;0;0;4;25;0;1;0;0;0;0;0;0.464285714285714;0;0;0.0714285714285714;0.446428571428571;0;0.0178571428571429;0;0
"A23L";"C11D";36;"2013";"2024";0;1;0;0;0;1;5;28;0;0;1;0;0;0.0277777777777778;0;0;0;0.0277777777777778;0.138888888888889;0.777777777777778;0;0;0.0277777777777778;0
"A23L";"C12C";63;"2013";"2024";0;0;0;26;0;0;6;28;0;3;0;0;0;0;0;0.412698412698413;0;0;0.0952380952380952;0.444444444444444;0;0.0476190476190476;0;0
"A23L";"C12F";1;"2024";"2024";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"A23L";"C12G";20;"2014";"2024";0;6;0;0;0;0;0;11;0;3;0;0;0;0.3;0;0;0;0;0;0.55;0;0.15;0;0
"A23L";"C12H";23;"2013";"2024";0;6;0;3;0;1;2;11;0;0;0;0;0;0.260869565217391;0;0.130434782608696;0;0.0434782608695652;0.0869565217391304;0.478260869565217;0;0;0;0
"A23L";"C12J";24;"2013";"2024";0;0;0;0;0;0;21;1;0;2;0;0;0;0;0;0;0;0;0.875;0.0416666666666667;0;0.0833333333333333;0;0
"A23L";"C12M";5;"2019";"2024";0;2;0;0;0;0;2;1;0;0;0;0;0;0.4;0;0;0;0;0.4;0.2;0;0;0;0
"A23L";"C12N";458;"2013";"2024";2;26;63;16;0;7;93;248;0;3;0;0;0.00436681222707424;0.0567685589519651;0.137554585152838;0.0349344978165939;0;0.0152838427947598;0.203056768558952;0.541484716157205;0;0.00655021834061135;0;0
"A23L";"C12P";262;"2013";"2024";0;5;3;5;1;15;27;187;0;18;0;1;0;0.0190839694656489;0.0114503816793893;0.0190839694656489;0.00381679389312977;0.0572519083969466;0.103053435114504;0.713740458015267;0;0.0687022900763359;0;0.00381679389312977
"A23L";"C12Q";125;"2013";"2024";0;6;18;0;2;1;81;14;0;2;0;1;0;0.048;0.144;0;0.016;0.008;0.648;0.112;0;0.016;0;0.008
"A23L";"C12R";54;"2013";"2024";2;0;0;1;0;0;3;48;0;0;0;0;0.037037037037037;0;0;0.0185185185185185;0;0;0.0555555555555556;0.888888888888889;0;0;0;0
"A23L";"C13B";10;"2013";"2022";0;1;0;0;0;0;8;1;0;0;0;0;0;0.1;0;0;0;0;0.8;0.1;0;0;0;0
"A23L";"C13K";9;"2013";"2024";0;1;0;0;0;0;8;0;0;0;0;0;0;0.111111111111111;0;0;0;0;0.888888888888889;0;0;0;0;0
"A23L";"C23C";1;"2019";"2019";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"A23L";"C25B";4;"2013";"2017";0;3;0;0;0;0;0;1;0;0;0;0;0;0.75;0;0;0;0;0;0.25;0;0;0;0
"A23L";"C25C";2;"2015";"2017";0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"A23L";"C40B";3;"2015";"2015";0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0.333333333333333;0.333333333333333;0.333333333333333;0;0;0;0
"A23L";"D06L";4;"2013";"2020";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"D06M";7;"2014";"2021";0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0.285714285714286;0.714285714285714;0;0;0;0
"A23L";"D21C";1;"2023";"2023";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
